id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,cos alpha,cos beta,cos gamma,w = croot(V),GaGaDist,GaAlDist,GaInDist,GaODist,AlAlDist,AlInDist,AlODist,InInDist,InODist,OODist,GaGaDist2,GaAlDist2,GaInDist2,GaODist2,AlAlDist2,AlInDist2,AlODist2,InInDist2,InODist2,OODist2,GaGaDist3,GaAlDist3,GaInDist3,GaODist3,AlAlDist3,AlInDist3,AlODist3,InInDist3,InODist3,OODist3,formation_energy_ev_natom,bandgap_energy_ev
1,33,80,0.625,0.375,0,9.9523,8.5513,9.1775,-5.00E-05,-4.00E-05,-3.00E-05,9.209300931,2.916487553,2.943796377,0,1.77130288,2.916487553,0,1.77124441,0,0,2.611656702,2.943873546,2.943796377,0,1.781702614,3.028858295,0,1.771254416,0,0,2.611660379,3.246170499,3.028940634,0,1.808876863,6.302084971,0,1.771254416,0,0,2.611660379,0.068,3.4387
2,194,80,0.625,0.375,0,6.184,6.1838,23.6287,-3.20E-04,3.00E-05,-5.00E-01,9.214988602,3.091825966,3.091825966,0,1.784885412,3.091825966,0,1.784885412,0,0,2.633038505,3.091983948,5.355340432,0,1.93637084,3.091825966,0,1.785202731,0,0,2.633038505,11.81434314,0,0,2.054081763,3.091983948,0,1.93637084,0,0,2.706298491,0.249,2.921
3,227,40,0.8125,0.1875,0,9.751,5.6595,13.963,-1.69E-02,-1.96E-02,8.61E-01,7.313800944,3.330933023,2.866130181,0,1.784013967,2.812228787,0,1.784013967,0,0,2.699739743,8.710296853,3.29961723,0,6.520523254,2.812228955,0,1.815186741,0,0,2.699739743,11.79005301,3.490743732,0,13.02089149,2.829768626,0,1.970726365,0,0,2.716577881,0.1821,2.7438
4,167,30,0.75,0,0.25,5.0036,5.0034,13.5318,2.00E-04,-2.10E-04,-5.00E-01,6.644702167,0,0,0,0,2.841673196,2.841673196,1.937372033,3.665122667,1.937439472,2.625771951,0,0,0,0,9.607561757,2.94762934,1.937372046,0,1.937751796,2.625771951,0,0,0,0,0,5.356047835,1.937517046,0,2.077747169,2.625909487,0.2172,3.3492
5,194,80,0,0.625,0.375,6.6614,6.6612,24.5813,7.00E-05,-1.00E-05,-5.00E-01,9.812208315,3.330598843,0,3.330598843,1.922936555,0,0,0,3.330598843,2.194815212,2.784787983,3.330598843,0,3.330719969,1.922936555,0,0,0,3.330719969,2.194815212,2.784787983,3.624639802,0,5.769596377,2.014433894,0,0,0,3.330719969,13.486498,2.784837122,0.0505,1.3793
6,227,40,0.5625,0.4375,0,9.8456,5.7176,14.1244,-1.96E-02,-2.27E-02,8.61E-01,7.394466147,3.330462503,2.838766931,0,1.79985436,2.858797171,0,1.79985436,0,0,2.725216362,3.33056954,2.838767101,0,1.79985436,2.901165942,0,1.836177558,0,0,2.725216362,6.667508881,2.901165942,0,6.581801531,0,0,1.991773835,0,0,2.744445284,0.2209,2.1633
7,206,80,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,-2.00E-05,-1.00E-05,2.00E-05,10.16646666,8.153141251,5.083192561,3.35886103,2.143000933,0,3.358815785,2.171353118,3.358815785,2.142978487,2.820055761,11.7031469,0,3.358889267,2.171343962,0,3.358909991,2.171355494,3.358815785,2.142983868,2.820055761,0,0,3.358915813,2.171343962,0,3.358915813,2.171399685,3.35886103,2.142989813,2.820055761,0.0562,0.9854
8,12,20,0.5,0,0.5,12.135,3.1533,6.288,1.00E-05,-2.62E-01,0.00E+00,6.146556137,0,0,0,0,3.182738398,3.280587059,1.915647937,3.788199173,1.877932607,2.71685641,0,0,0,0,3.182745974,3.280587059,1.915647937,6.215908623,1.877932607,2.716865968,0,0,0,0,6.269000326,3.690736085,1.982092827,6.215922833,1.9693804,2.824588972,0.2243,1.7179
9,206,80,0.5312,0.2188,0.25,9.4027,9.4023,9.4025,-4.00E-05,-5.00E-05,4.00E-05,9.402499989,3.106366797,3.106407055,3.106366797,1.981917836,3.106366797,3.106366797,1.981915286,3.106366797,1.981915286,2.608094893,5.895550501,3.106407055,4.701155691,1.981953922,3.106425259,3.106366797,1.982050925,3.557555228,1.981919617,2.634440758,8.886002395,4.70122562,0,1.981958976,3.106425259,3.106425259,2.008143566,4.70122562,1.98193504,2.634521358,0.2193,2.6257
10,194,80,0.4062,0.5938,0,6.252,6.252,23.7931,-3.00E-04,1.00E-05,-5.00E-01,9.304084142,3.125979914,3.125979914,0,1.804610785,3.125979914,0,1.804610785,0,0,2.656335509,3.126001442,3.126001442,0,1.94984638,3.125979914,0,1.804610785,0,0,2.656335509,3.126001442,3.478708182,0,2.074737562,3.126006056,0,1.94984638,0,0,2.72997465,0.1994,2.5187
